index,language,source_code,source_line,sink_code,sink_line,source_path,sink_path,taint_path,hit
cwe-22,python,"def job_browse(job_id: int, path):",638,"""directory"": os.path.isdir(os.path.join(abs_path, file))",681,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,.\file\cwe-22\ganga-devs\ganga/ganga/GangaGUI/gui/routes_before.py,638->658->681,0
cwe-22,python,def put_file(path):,104,"dest_path.parent.mkdir(parents=True, exist_ok=True, mode=0o770)",136,.\file\cwe-22\horazont\xmpp-http-upload/xhu_before.py,.\file\cwe-22\horazont\xmpp-http-upload/xhu_before.py,104->107->41->42->45->106->106->136,0
cwe-22,python,def get_file(path):,214,"str(data_file),",228,.\file\cwe-22\horazont\xmpp-http-upload/xhu_before.py,.\file\cwe-22\horazont\xmpp-http-upload/xhu_before.py,214->217->60->64->41->42->45->63->63->68->48->49->52->68->68->70->216->216->228,0
cwe-22,python,"def get(self, request, **kwargs):",79,"with open(file_path, 'r') as f:",86,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,79->83->83->83->85->86,1
cwe-22,python,"def post(self, request, **kwargs):",97,while os.path.exists(np):,121,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,97->102->102->102->127->119->119->121,0
cwe-22,python,"def post(self, request, **kwargs):",97,os.makedirs(new_file_path),128,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,97->102->102->102->127->127->127->128,0
cwe-22,python,"def post(self, request, **kwargs):",97,"with open(new_file_path, 'w') as f:",131,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,97->102->102->102->130->130->130->131,1
cwe-22,python,"def patch(self, request, **kwargs):",149,if os.path.exists(new_file_path):,175,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,149->155->155->155->172->175,0
cwe-22,python,"def patch(self, request, **kwargs):",149,"os.rename(file_path, new_file_path)",177,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,149->154->154->154->168->177,1
cwe-22,python,"def patch(self, request, **kwargs):",149,"with open(file_path, 'w') as f:",181,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,149->154->154->154->168->181,1
cwe-22,python,"def delete(self, request, **kwargs):",185,if os.path.isdir(file_path):,195,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,185->189->189->189->194->195,0
cwe-22,python,"def delete(self, request, **kwargs):",185,shutil.rmtree(file_path),196,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,185->189->189->189->194->196,1
cwe-22,python,"def delete(self, request, **kwargs):",185,os.remove(file_path),198,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,.\file\cwe-22\jumpserver\jumpserver/apps/ops/api/playbook_before.py,185->189->189->189->194->198,1
cwe-22,python,def send_note_attachment(filename):,114,"return send_file(file_path, as_attachment=True)",120,.\file\cwe-22\kizniche\Mycodo/mycodo/mycodo_flask/routes_general.py,.\file\cwe-22\kizniche\Mycodo/mycodo/mycodo_flask/routes_general.py,114->116->119->120,0
cwe-22,python,"def camera_img_return_path(camera_unique_id, img_type, filename):",127,"return send_file(path_file, mimetype='image/jpeg')",153,.\file\cwe-22\kizniche\Mycodo/mycodo/mycodo_flask/routes_general.py,.\file\cwe-22\kizniche\Mycodo/mycodo/mycodo_flask/routes_general.py,127->151->152->153,0
cwe-22,python,"def generate_thermal_image_from_timestamp(unique_id, timestamp):",428,"return send_file(path_file, mimetype='image/jpeg')",478,.\file\cwe-22\kizniche\Mycodo/mycodo/mycodo_flask/routes_general.py,.\file\cwe-22\kizniche\Mycodo/mycodo/mycodo_flask/routes_general.py,428->433->438->478,0
cwe-22,python,page_name = request.form['PN'],115,if not os.path.exists(dirname):,59,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,115->115->118->233->233->234->48->57->58->59,0
cwe-22,python,page_name = request.form['PN'],115,os.makedirs(dirname),60,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,115->115->118->233->233->234->48->57->58->60,0
cwe-22,python,page_name = request.form['PN'],115,"with open(filename, 'w') as f:",61,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,115->115->118->233->233->234->48->57->61,0
cwe-22,python,def list_wiki(folderpath):,127,"for root, subfolder, files in os.walk(requested_path):",135,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,127->131->133->135,0
cwe-22,python,def file_page(file_page):,177,"mod = ""Last modified: %s"" % time.ctime(os.path.getmtime(md_file_path))",195,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,177->187->195,0
cwe-22,python,def remove(page):,265,os.remove(filename),271,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,265->270->271,0
cwe-22,python,def edit(page):,278,os.remove(filename),285,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,278->281->285,0
cwe-22,python,def edit(page):,278,"with open(filename, 'r', encoding=""utf-8"", errors='ignore') as f:",293,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,278->281->293,0
cwe-22,python,"if request.method == ""POST"":",303,"os.remove((os.path.join(app.config['UPLOAD_FOLDER'], filename)))",329,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,303->326->329,0
cwe-22,python,"if request.method == ""DELETE"":",324,"os.remove((os.path.join(app.config['UPLOAD_FOLDER'], filename)))",329,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,324->326->329,0
cwe-22,python,"filename = request.data.decode(""utf-8"")",326,"os.remove((os.path.join(app.config['UPLOAD_FOLDER'], filename)))",329,.\file\cwe-22\Linbreux\wikmd/wiki.py,.\file\cwe-22\Linbreux\wikmd/wiki.py,326->326->329,0
cwe-22,python,def list_wiki(folderpath):,127,"for root, subfolder, files in os.walk(os.path.join(cfg.wiki_directory, folderpath)):",130,.\file\cwe-22\Linbreux\wikmd/wiki_before.py,.\file\cwe-22\Linbreux\wikmd/wiki_before.py,127->130,1
cwe-22,python,if request.headers['Content-Type'].startswith('multipart/form-data'):,55,"with open(file_path, 'wb') as f:",122,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,55->90->121->122,0
cwe-22,python,data = request.json,79,"with open(file_path, 'wb') as f:",122,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,79->90->90->121->121->121->122,0
cwe-22,python,if request.headers['Content-Type'].startswith('multipart/form-data'):,55,os.remove(file_path),137,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,55->128->137,0
cwe-22,python,data = request.json,79,os.remove(file_path),137,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file.py,79->128->137,0
cwe-22,python,with tarfile.open(file_path) as f:,135,f.extractall(temp_dir_path),136,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file_before.py,.\file\cwe-22\mindsdb\mindsdb/mindsdb/api/http/namespaces/file_before.py,135->135->136,1
cwe-22,python,"tar_file = tarfile.open(filename, 'r|gz')",330,tar_file.extractall(path),331,.\file\cwe-22\openstack\nova/nova/image/s3.py,.\file\cwe-22\openstack\nova/nova/image/s3.py,330->330->331,0
cwe-22,python,"with tarfile.open(model_file, mode=""r:gz"") as tar:",230,tar.extractall(working_directory),231,.\file\cwe-22\RasaHQ\rasa/rasa/model_before.py,.\file\cwe-22\RasaHQ\rasa/rasa/model_before.py,230->230->231,1
cwe-22,python,"def get(self, path: str) -> None:",309,"with open(abspath, ""rb"") as file:",332,.\file\cwe-22\streamlit\streamlit/lib/streamlit/components/v1/components.py,.\file\cwe-22\streamlit\streamlit/lib/streamlit/components/v1/components.py,309->310->320->321->321->321->332,0
cwe-22,python,def get_image(path):,264,"get_absolute_path(f""./images/{path}""),",273,.\file\cwe-22\woduq1414\munhak-moa/app_before.py,.\file\cwe-22\woduq1414\munhak-moa/app_before.py,264->273->265->268->269->270->273,1
cwe-601,python,"request,",10,return redirect(next_url),267,.\file\cwe-601\archivy\archivy/archivy/routes.py,.\file\cwe-601\archivy\archivy/archivy/routes.py,10->10->265->265->265->265->267,0
cwe-601,python,"request,",10,"return redirect(request.referrer or ""/"")",310,.\file\cwe-601\archivy\archivy/archivy/routes.py,.\file\cwe-601\archivy\archivy/archivy/routes.py,10->10->310->310,0
cwe-601,python,"request,",10,"return redirect(request.referrer or ""/"", 404)",322,.\file\cwe-601\archivy\archivy/archivy/routes.py,.\file\cwe-601\archivy\archivy/archivy/routes.py,10->10->322->322,0
cwe-601,python,"request,",10,"return redirect(next_url or ""/"")",266,.\file\cwe-601\archivy\archivy/archivy/routes_before.py,.\file\cwe-601\archivy\archivy/archivy/routes_before.py,10->10->265->265->265->265->266,1
cwe-601,python,"def post(self, request, *args, **kwargs):",75,return HttpResponseRedirect(return_url),88,.\file\cwe-601\cyface\django-termsandconditions/termsandconditions/views_before.py,.\file\cwe-601\cyface\django-termsandconditions/termsandconditions/views_before.py,75->79->79->79->88,1
cwe-601,python,def get(self):,913,"self.redirect(url, permanent=self._permanent)",916,.\file\cwe-601\jupyter\notebook/notebook/base/handlers.py,.\file\cwe-601\jupyter\notebook/notebook/base/handlers.py,913->915->916,0
cwe-601,python,def get(self):,860,self.redirect(self.request.uri.rstrip('/')),861,.\file\cwe-601\jupyter\notebook/notebook/base/handlers_before.py,.\file\cwe-601\jupyter\notebook/notebook/base/handlers_before.py,860->861,0
cwe-79,python,"def get(self, arg,word=None):",28,self.write(result),38,.\file\cwe-79\RTXteam\RTX/code/autocomplete/server.py,.\file\cwe-79\RTXteam\RTX/code/autocomplete/server.py,28->32->15->18->18->18->20->20->20->23->32->32->36->38,0
cwe-79,python,def pref_get(key):,395,"return Response(json.dumps({'key': key, 'value': get_preferences()[key]}))",400,.\file\cwe-79\wikimedia\analytics-quarry-web/quarry/web/app_before.py,.\file\cwe-79\wikimedia\analytics-quarry-web/quarry/web/app_before.py,395->400,1
cwe-79,python,def pref_get(key):,395,"return Response(json.dumps({'key': key, 'error': 'novalue'}))",402,.\file\cwe-79\wikimedia\analytics-quarry-web/quarry/web/app_before.py,.\file\cwe-79\wikimedia\analytics-quarry-web/quarry/web/app_before.py,395->402,1
cwe-79,python,"def pref_set(key, value):",406,"return Response(json.dumps({'key': key, 'success': ''})), 201",411,.\file\cwe-79\wikimedia\analytics-quarry-web/quarry/web/app_before.py,.\file\cwe-79\wikimedia\analytics-quarry-web/quarry/web/app_before.py,406->411,0
